"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"김민","retire","62340","김민","SS","삼성","포수","우투우타","/Record/Retire/Hitter.aspx?playerId=62340","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민규","now","56637","김민규","HT","KIA","외야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=56637","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민규","now","68200","김민규","OB","두산","투수","우투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=68200","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민규","now","54913","김민규","SM","상무","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=54913","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민규","retire","72767","김민규","HH","한화","투수","우투좌타","/Record/Retire/Pitcher.aspx?playerId=72767","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민석","now","54097","김민석","KT","KT","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=54097","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민석","now","53554","김민석","OB","두산","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=53554","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민석","retire","65401","김민석","SS","삼성","외야수","우투우타","/Record/Retire/Hitter.aspx?playerId=65401","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민석","retire","69704","김민석","HH","한화","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=69704","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민성","now","54094","김민성","KT","KT","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=54094","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민성","now","77564","김민성","LT","롯데","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=77564","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민성","retire","63669","김민성","HT","KIA","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=63669","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민성","retire","71238","김민성","OB","두산","투수","좌투좌타","/Record/Retire/Pitcher.aspx?playerId=71238","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민수","now","65048","김민수","KT","KT","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=65048","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민수","now","64793","김민수","LG","LG","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=64793","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민수","retire","69500","김민수","LT","롯데","외야수","우투우타","/Record/Retire/Hitter.aspx?playerId=69500","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민수","retire","72457","김민수","SS","삼성","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=72457","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민식","now","62864","김민식","SK","SSG","포수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=62864","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민우","now","65764","김민우","HH","한화","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=65764","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민우","retire","72303","김민우","HT","KIA","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=72303","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민우","retire","99442","김민우","SS","삼성","외야수","좌투좌타","/Record/Retire/Hitter.aspx?playerId=99442","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민주","retire","54645","김민주","HT","KIA","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=54645","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민혁","now","64004","김민혁","KT","KT","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=64004","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민혁","now","65269","김민혁","OB","두산","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=65269","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김범석","retire","53144","김범석","LG","LG","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=53144","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김범석","retire","75560","김범석","LT","롯데","내야수","우투좌타","/Record/Retire/Hitter.aspx?playerId=75560","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김범수","now","65769","김범수","HT","KIA","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=65769","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김범준","now","69980","김범준","NC","NC","외야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=69980","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
