"season","game_date","game_id","start_time","away_team","away_score","home_team","home_score","stadium","source_url"
"2025","2025-08-16","20250816SSLT0","18:00","삼성","4","롯데","1","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250816&gameId=20250816SSLT0&section=REVIEW"
"2025","2025-08-17","20250817HHNC0","18:00","한화","4","NC","9","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250817&gameId=20250817HHNC0&section=REVIEW"
"2025","2025-08-17","20250817HTOB0","18:00","KIA","2","두산","4","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250817&gameId=20250817HTOB0&section=REVIEW"
"2025","2025-08-17","20250817KTWO0","14:00","KT","5","키움","3","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250817&gameId=20250817KTWO0&section=REVIEW"
"2025","2025-08-17","20250817LGSK0","18:00","LG","6","SSG","1","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250817&gameId=20250817LGSK0&section=REVIEW"
"2025","2025-08-17","20250817SSLT0","18:00","삼성","8","롯데","8","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250817&gameId=20250817SSLT0&section=REVIEW"
"2025","2025-08-19","20250819LTLG0","18:30","롯데","2","LG","5","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250819&gameId=20250819LTLG0&section=REVIEW"
"2025","2025-08-19","20250819OBHH0","18:30","두산","6","한화","5","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250819&gameId=20250819OBHH0&section=REVIEW"
"2025","2025-08-19","20250819SKKT0","18:30","SSG","4","KT","5","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250819&gameId=20250819SKKT0&section=REVIEW"
"2025","2025-08-19","20250819SSNC0","18:30","삼성","6","NC","2","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250819&gameId=20250819SSNC0&section=REVIEW"
"2025","2025-08-19","20250819WOHT0","18:30","키움","9","KIA","12","광주","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250819&gameId=20250819WOHT0&section=REVIEW"
"2025","2025-08-20","20250820LTLG0","18:30","롯데","3","LG","5","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250820&gameId=20250820LTLG0&section=REVIEW"
"2025","2025-08-20","20250820OBHH0","18:30","두산","13","한화","9","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250820&gameId=20250820OBHH0&section=REVIEW"
"2025","2025-08-20","20250820SKKT0","18:30","SSG","5","KT","3","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250820&gameId=20250820SKKT0&section=REVIEW"
"2025","2025-08-20","20250820SSNC0","18:30","삼성","4","NC","3","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250820&gameId=20250820SSNC0&section=REVIEW"
"2025","2025-08-20","20250820WOHT0","18:30","키움","6","KIA","1","광주","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250820&gameId=20250820WOHT0&section=REVIEW"
